Heuristic Name,Run Time
"random","338"
"simple","340"
"random","285"
"simple","509"
"random","501"
"simple","681"
"random","493"
"simple","412"
"random","438"
"simple","717"
"random","431"
"simple","810"
"random","282"
"simple","1218"
"random","350"
"simple","1680"
"random","462"
"simple","1622"
"random","554"
"simple","1610"
"random","818"
"simple","1639"
"random","360"
"simple","1780"
"random","557"
"simple","2047"
"random","349"
"simple","1609"
"random","446"
"simple","1670"
"random","349"
"simple","1584"
"random","467"
"simple","2077"
"random","342"
"simple","1583"
"random","445"
"simple","1684"
"random","375"
"simple","1585"
"random","469"
"simple","1782"
"random","534"
"simple","1594"
"random","501"
"simple","2045"
"random","604"
"simple","2152"
"random","574"
"aggressive","379"
"aggressive","396"
"aggressive","495"
"aggressive","372"
"aggressive","577"
"aggressive","335"
"aggressive","649"
"aggressive","613"
"aggressive","372"
"aggressive","367"
"aggressive","540"
"aggressive","465"
"aggressive","448"
"aggressive","239"
"aggressive","229"
"aggressive","388"
"aggressive","481"
"aggressive","395"
"aggressive","687"
"aggressive","906"
"aggressive","416"
"aggressive","497"
"aggressive","248"
"aggressive","352"
"aggressive","184"
"aggressive","307"
"aggressive","210"
"aggressive","531"
"aggressive","252"
"aggressive","562"
"aggressive","231"
"aggressive","489"
"aggressive","191"
"aggressive","326"
"aggressive","185"
"aggressive","473"
"aggressive","272"
"aggressive","392"
"aggressive","181"
"aggressive","450"
"aggressive","260"
"aggressive","396"
"aggressive","182"
"aggressive","437"
"aggressive","217"
"aggressive","356"
"aggressive","174"
"aggressive","341"
"aggressive","183"
"player","8456"
"player","9671"
"player","7830"
"player","10610"
"player","11894"
"player","10344"
"player","8149"
"player","2692"
"player","3050"
"player","4264"
"player","1715"
"player","15843"
"player","22201"
"player","29592"
"player","7071"
"player","417"
"player","4581"
"player","7512"
"player","16138"
"player","36661"
"player","16442"
"player","11856"
"player","20219"
"player","25409"
"player","15294"
"player","12276"
"player","13230"
"player","14270"
"player","11145"
"player","8808"
"player","11382"
"player","10823"
"player","9176"
"player","6716"
"player","20201"
"player","13558"
"player","20509"
"player","7481"
"player","7"
"player","7299"
"player","38312"
"player","8365"
"player","22187"
"player","22476"
"player","39462"
"player","12936"
"player","8238"
"player","32218"
"player","7121"
"player","5004"
"player","6047"
"player","4681"
"player","2808"
"player","3091"
"player","3082"
"stay_in_center","2712"
"simple","3740"
"stay_in_center","3325"
"simple","7491"
"stay_in_center","10572"
"simple","7481"
"stay_in_center","4091"
"simple","10855"
"stay_in_center","5104"
"simple","8559"
"stay_in_center","4496"
"simple","4959"
"stay_in_center","3379"
"simple","10125"
"stay_in_center","3654"
"simple","4481"
"stay_in_center","3497"
"simple","4307"
"stay_in_center","3213"
"simple","5376"
"stay_in_center","4408"
"simple","6053"
"stay_in_center","3963"
"simple","4436"
"stay_in_center","2695"
"simple","13985"
"stay_in_center","4351"
"simple","12497"
"stay_in_center","6534"
"simple","4936"
"stay_in_center","4347"
"simple","11567"
"stay_in_center","4410"
"simple","8213"
"stay_in_center","4351"
"simple","11573"
"stay_in_center","4405"
"simple","8200"
"stay_in_center","4349"
"simple","11573"
"stay_in_center","4427"
"simple","8241"
"stay_in_center","4370"
"simple","11584"
"stay_in_center","4408"
"simple","8202"
"stay_in_center","4368"
"simple","11617"
"stay_in_center","4403"
"random","2715"
"simple","4296"
"random","3038"
"simple","6494"
"random","8023"
"simple","11159"
"random","6160"
"simple","12028"
"random","12910"
"simple","25070"
"random","6772"
"simple","27622"
"random","37254"
"simple","15421"
"random","13094"
"simple","20887"
"random","9018"
"simple","15853"
"random","13046"
"simple","12262"
"random","9233"
"simple","18643"
"random","4881"
"simple","30891"
"random","9438"
"simple","12646"
"random","5076"
"simple","23547"
"random","7031"
"simple","19663"
"random","10713"
"simple","19358"
"random","17158"
"simple","32238"
"random","22971"
"simple","11814"
"random","8480"
"simple","10177"
"random","8091"
"simple","15908"
"random","10744"
"simple","9804"
"random","8087"
"simple","20423"
"random","9355"
"simple","12820"
"random","8141"
